date,time,symbol,open,high,low,close,volume
"=""23-01-24""",09:15:00,FINNIFTY,20735.5,20763.0,20695.1,20700.75,0.0
"=""23-01-24""",09:16:00,FINNIFTY,20703.7,20714.1,20699.5,20706.45,0.0
"=""23-01-24""",09:17:00,FINNIFTY,20707.0,20707.0,20695.05,20698.05,0.0
"=""23-01-24""",09:18:00,FINNIFTY,20699.75,20709.65,20694.55,20700.1,0.0
"=""23-01-24""",09:19:00,FINNIFTY,20700.1,20710.5,20694.05,20710.4,0.0
"=""23-01-24""",09:20:00,FINNIFTY,20709.4,20709.9,20691.95,20696.1,0.0
"=""23-01-24""",09:21:00,FINNIFTY,20694.75,20700.9,20692.5,20697.7,0.0
"=""23-01-24""",09:22:00,FINNIFTY,20698.15,20705.15,20688.85,20700.4,0.0
"=""23-01-24""",09:23:00,FINNIFTY,20698.2,20711.4,20691.2,20706.7,0.0
"=""23-01-24""",09:24:00,FINNIFTY,20703.5,20705.8,20695.05,20696.55,0.0
"=""23-01-24""",09:25:00,FINNIFTY,20698.4,20698.4,20680.1,20682.4,0.0
"=""23-01-24""",09:26:00,FINNIFTY,20684.05,20702.4,20684.05,20697.15,0.0
"=""23-01-24""",09:27:00,FINNIFTY,20696.0,20700.6,20684.05,20685.7,0.0
"=""23-01-24""",09:28:00,FINNIFTY,20688.3,20704.25,20687.1,20704.0,0.0
"=""23-01-24""",09:29:00,FINNIFTY,20703.75,20710.4,20699.15,20706.0,0.0
"=""23-01-24""",09:30:00,FINNIFTY,20705.75,20710.7,20700.3,20709.45,0.0
"=""23-01-24""",09:31:00,FINNIFTY,20709.15,20711.6,20670.15,20688.6,0.0
"=""23-01-24""",09:32:00,FINNIFTY,20690.1,20701.7,20686.15,20695.2,0.0
"=""23-01-24""",09:33:00,FINNIFTY,20698.3,20702.1,20687.35,20692.2,0.0
"=""23-01-24""",09:34:00,FINNIFTY,20695.15,20697.15,20682.4,20690.2,0.0
"=""23-01-24""",09:35:00,FINNIFTY,20691.65,20693.4,20674.95,20676.2,0.0
"=""23-01-24""",09:36:00,FINNIFTY,20671.9,20683.1,20668.6,20678.35,0.0
"=""23-01-24""",09:37:00,FINNIFTY,20676.55,20680.9,20667.7,20678.45,0.0
"=""23-01-24""",09:38:00,FINNIFTY,20677.65,20679.4,20657.0,20665.95,0.0
"=""23-01-24""",09:39:00,FINNIFTY,20666.25,20666.25,20640.6,20646.8,0.0
"=""23-01-24""",09:40:00,FINNIFTY,20648.4,20652.9,20628.9,20650.35,0.0
"=""23-01-24""",09:41:00,FINNIFTY,20650.4,20654.75,20636.55,20653.55,0.0
"=""23-01-24""",09:42:00,FINNIFTY,20652.6,20656.2,20637.95,20654.75,0.0
"=""23-01-24""",09:43:00,FINNIFTY,20654.95,20664.3,20643.05,20647.0,0.0
"=""23-01-24""",09:44:00,FINNIFTY,20646.4,20662.4,20644.6,20660.5,0.0
"=""23-01-24""",09:45:00,FINNIFTY,20661.95,20674.25,20653.45,20674.25,0.0
"=""23-01-24""",09:46:00,FINNIFTY,20675.0,20675.85,20657.8,20671.25,0.0
"=""23-01-24""",09:47:00,FINNIFTY,20668.0,20671.4,20646.6,20646.6,0.0
"=""23-01-24""",09:48:00,FINNIFTY,20648.25,20649.75,20640.65,20645.65,0.0
"=""23-01-24""",09:49:00,FINNIFTY,20646.45,20646.45,20632.2,20633.45,0.0
"=""23-01-24""",09:50:00,FINNIFTY,20633.4,20652.6,20631.95,20649.15,0.0
"=""23-01-24""",09:51:00,FINNIFTY,20652.35,20652.35,20636.5,20636.95,0.0
"=""23-01-24""",09:52:00,FINNIFTY,20634.4,20637.45,20619.95,20633.6,0.0
"=""23-01-24""",09:53:00,FINNIFTY,20631.6,20638.45,20622.8,20635.7,0.0
"=""23-01-24""",09:54:00,FINNIFTY,20637.6,20641.15,20623.4,20634.85,0.0
"=""23-01-24""",09:55:00,FINNIFTY,20635.8,20635.8,20620.85,20623.2,0.0
"=""23-01-24""",09:56:00,FINNIFTY,20624.2,20625.05,20578.45,20578.45,0.0
"=""23-01-24""",09:57:00,FINNIFTY,20576.15,20576.15,20539.5,20539.5,0.0
"=""23-01-24""",09:58:00,FINNIFTY,20535.45,20545.4,20526.35,20526.35,0.0
"=""23-01-24""",09:59:00,FINNIFTY,20526.9,20540.35,20522.85,20539.1,0.0
"=""23-01-24""",10:00:00,FINNIFTY,20540.5,20550.95,20527.85,20529.1,0.0
"=""23-01-24""",10:01:00,FINNIFTY,20529.05,20538.8,20516.15,20535.15,0.0
"=""23-01-24""",10:02:00,FINNIFTY,20534.15,20546.5,20529.3,20532.6,0.0
"=""23-01-24""",10:03:00,FINNIFTY,20532.95,20552.3,20532.05,20542.2,0.0
"=""23-01-24""",10:04:00,FINNIFTY,20544.6,20556.25,20538.4,20542.5,0.0
"=""23-01-24""",10:05:00,FINNIFTY,20543.95,20551.6,20541.1,20550.75,0.0
"=""23-01-24""",10:06:00,FINNIFTY,20548.85,20550.45,20509.1,20509.1,0.0
"=""23-01-24""",10:07:00,FINNIFTY,20508.5,20526.0,20494.75,20522.65,0.0
"=""23-01-24""",10:08:00,FINNIFTY,20525.05,20533.05,20516.6,20531.75,0.0
"=""23-01-24""",10:09:00,FINNIFTY,20531.2,20534.1,20523.2,20533.65,0.0
"=""23-01-24""",10:10:00,FINNIFTY,20532.9,20538.9,20527.65,20529.75,0.0
"=""23-01-24""",10:11:00,FINNIFTY,20530.25,20541.25,20521.75,20529.05,0.0
"=""23-01-24""",10:12:00,FINNIFTY,20528.25,20542.7,20526.4,20539.95,0.0
"=""23-01-24""",10:13:00,FINNIFTY,20538.05,20546.45,20532.45,20533.6,0.0
"=""23-01-24""",10:14:00,FINNIFTY,20535.95,20546.55,20534.95,20536.2,0.0
"=""23-01-24""",10:15:00,FINNIFTY,20535.85,20545.55,20532.1,20544.9,0.0
"=""23-01-24""",10:16:00,FINNIFTY,20547.15,20556.95,20542.2,20547.8,0.0
"=""23-01-24""",10:17:00,FINNIFTY,20547.9,20559.0,20545.15,20555.9,0.0
"=""23-01-24""",10:18:00,FINNIFTY,20554.55,20561.75,20547.6,20548.1,0.0
"=""23-01-24""",10:19:00,FINNIFTY,20548.95,20559.15,20545.05,20547.25,0.0
"=""23-01-24""",10:20:00,FINNIFTY,20546.0,20550.6,20539.5,20547.55,0.0
"=""23-01-24""",10:21:00,FINNIFTY,20547.65,20547.65,20515.05,20515.9,0.0
"=""23-01-24""",10:22:00,FINNIFTY,20515.2,20529.2,20504.7,20526.25,0.0
"=""23-01-24""",10:23:00,FINNIFTY,20526.55,20528.35,20515.35,20517.8,0.0
"=""23-01-24""",10:24:00,FINNIFTY,20517.5,20518.25,20495.95,20495.95,0.0
"=""23-01-24""",10:25:00,FINNIFTY,20496.15,20499.65,20487.25,20499.65,0.0
"=""23-01-24""",10:26:00,FINNIFTY,20503.6,20509.65,20498.05,20502.5,0.0
"=""23-01-24""",10:27:00,FINNIFTY,20504.55,20504.55,20486.5,20486.8,0.0
"=""23-01-24""",10:28:00,FINNIFTY,20486.3,20490.5,20468.55,20490.05,0.0
"=""23-01-24""",10:29:00,FINNIFTY,20489.5,20495.75,20483.9,20484.6,0.0
"=""23-01-24""",10:30:00,FINNIFTY,20485.75,20499.7,20482.7,20496.85,0.0
"=""23-01-24""",10:31:00,FINNIFTY,20496.0,20505.75,20492.25,20502.55,0.0
"=""23-01-24""",10:32:00,FINNIFTY,20502.3,20510.05,20494.9,20510.05,0.0
"=""23-01-24""",10:33:00,FINNIFTY,20510.25,20515.9,20504.95,20510.5,0.0
"=""23-01-24""",10:34:00,FINNIFTY,20509.55,20511.45,20496.65,20499.4,0.0
"=""23-01-24""",10:35:00,FINNIFTY,20499.85,20511.1,20497.95,20509.25,0.0
"=""23-01-24""",10:36:00,FINNIFTY,20510.6,20512.4,20491.3,20493.7,0.0
"=""23-01-24""",10:37:00,FINNIFTY,20493.25,20503.15,20492.75,20492.75,0.0
"=""23-01-24""",10:38:00,FINNIFTY,20496.35,20497.6,20456.95,20457.2,0.0
"=""23-01-24""",10:39:00,FINNIFTY,20457.65,20459.1,20435.6,20436.8,0.0
"=""23-01-24""",10:40:00,FINNIFTY,20436.85,20436.85,20405.0,20406.25,0.0
"=""23-01-24""",10:41:00,FINNIFTY,20407.6,20429.2,20407.6,20421.55,0.0
"=""23-01-24""",10:42:00,FINNIFTY,20422.1,20434.2,20418.9,20430.3,0.0
"=""23-01-24""",10:43:00,FINNIFTY,20430.3,20435.8,20418.55,20424.35,0.0
"=""23-01-24""",10:44:00,FINNIFTY,20423.6,20436.1,20421.9,20425.1,0.0
"=""23-01-24""",10:45:00,FINNIFTY,20423.1,20439.85,20423.1,20428.95,0.0
"=""23-01-24""",10:46:00,FINNIFTY,20427.75,20437.25,20415.15,20437.25,0.0
